"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|BE","Actual Total Load [MW] - CTA|BE"
"21.07.2019 09:45 - 21.07.2019 10:00","7716","7915"
"21.07.2019 10:00 - 21.07.2019 10:15","7963","7863"
"21.07.2019 10:15 - 21.07.2019 10:30","8041","7885"
"21.07.2019 10:30 - 21.07.2019 10:45","8060","7918"
"21.07.2019 10:45 - 21.07.2019 11:00","8061","7950"
"21.07.2019 11:00 - 21.07.2019 11:15","8324","8001"
"21.07.2019 11:15 - 21.07.2019 11:30","8335","8010"
"21.07.2019 11:30 - 21.07.2019 11:45","8457","8041"
"21.07.2019 11:45 - 21.07.2019 12:00","8473","8131"
"21.07.2019 12:00 - 21.07.2019 12:15","8513","8138"
"21.07.2019 12:15 - 21.07.2019 12:30","8464","8126"
"21.07.2019 12:30 - 21.07.2019 12:45","8445","8105"
"21.07.2019 12:45 - 21.07.2019 13:00","8383","8011"
"21.07.2019 13:00 - 21.07.2019 13:15","8379","7916"
"21.07.2019 13:15 - 21.07.2019 13:30","8297","7774"
"21.07.2019 13:30 - 21.07.2019 13:45","8222","7784"
"21.07.2019 13:45 - 21.07.2019 14:00","8220","7735"
"21.07.2019 14:00 - 21.07.2019 14:15","8055","7703"
"21.07.2019 14:15 - 21.07.2019 14:30","8036","7707"
"21.07.2019 14:30 - 21.07.2019 14:45","8020","7702"
"21.07.2019 14:45 - 21.07.2019 15:00","8015","7618"
"21.07.2019 15:00 - 21.07.2019 15:15","7924","7616"
"21.07.2019 15:15 - 21.07.2019 15:30","7936","7676"
"21.07.2019 15:30 - 21.07.2019 15:45","7884","7620"
"21.07.2019 15:45 - 21.07.2019 16:00","7881","7541"
"21.07.2019 16:00 - 21.07.2019 16:15","7862","7680"
"21.07.2019 16:15 - 21.07.2019 16:30","7851","7678"
"21.07.2019 16:30 - 21.07.2019 16:45","7902","7674"
"21.07.2019 16:45 - 21.07.2019 17:00","7879","7708"
"21.07.2019 17:00 - 21.07.2019 17:15","7952","7677"
"21.07.2019 17:15 - 21.07.2019 17:30","7984","7811"
"21.07.2019 17:30 - 21.07.2019 17:45","8151","7917"
"21.07.2019 17:45 - 21.07.2019 18:00","8198","8037"
"21.07.2019 18:00 - 21.07.2019 18:15","8245","8089"
"21.07.2019 18:15 - 21.07.2019 18:30","8281","8148"
"21.07.2019 18:30 - 21.07.2019 18:45","8286","8073"
"21.07.2019 18:45 - 21.07.2019 19:00","8322","8142"
"21.07.2019 19:00 - 21.07.2019 19:15","8366","8246"
"21.07.2019 19:15 - 21.07.2019 19:30","8413","8227"
"21.07.2019 19:30 - 21.07.2019 19:45","8332","8295"
"21.07.2019 19:45 - 21.07.2019 20:00","8297","8239"
"21.07.2019 20:00 - 21.07.2019 20:15","8310","8260"
"21.07.2019 20:15 - 21.07.2019 20:30","8290","8308"
"21.07.2019 20:30 - 21.07.2019 20:45","8296","8298"
"21.07.2019 20:45 - 21.07.2019 21:00","8289","8248"
"21.07.2019 21:00 - 21.07.2019 21:15","8261","8158"
"21.07.2019 21:15 - 21.07.2019 21:30","8236","8165"
"21.07.2019 21:30 - 21.07.2019 21:45","8242","8272"
"21.07.2019 21:45 - 21.07.2019 22:00","8240","8287"
"21.07.2019 22:00 - 21.07.2019 22:15","8405","8541"
"21.07.2019 22:15 - 21.07.2019 22:30","8484","8559"
"21.07.2019 22:30 - 21.07.2019 22:45","8495","8549"
"21.07.2019 22:45 - 21.07.2019 23:00","8398","8451"
"21.07.2019 23:00 - 21.07.2019 23:15","8314","8328"
"21.07.2019 23:15 - 21.07.2019 23:30","8225","8245"
"21.07.2019 23:30 - 21.07.2019 23:45","8098","8076"
"21.07.2019 23:45 - 22.07.2019 00:00","7945","7877"
"22.07.2019 00:00 - 22.07.2019 00:15","7727","7777"
"22.07.2019 00:15 - 22.07.2019 00:30","7629","7720"
"22.07.2019 00:30 - 22.07.2019 00:45","7609","7649"
"22.07.2019 00:45 - 22.07.2019 01:00","7565","7575"
"22.07.2019 01:00 - 22.07.2019 01:15","7418","7522"
"22.07.2019 01:15 - 22.07.2019 01:30","7274","7450"
"22.07.2019 01:30 - 22.07.2019 01:45","7306","7437"
"22.07.2019 01:45 - 22.07.2019 02:00","7201","7436"
"22.07.2019 02:00 - 22.07.2019 02:15","6928","7320"
"22.07.2019 02:15 - 22.07.2019 02:30","6897","7238"
"22.07.2019 02:30 - 22.07.2019 02:45","6804","7202"
"22.07.2019 02:45 - 22.07.2019 03:00","6830","7273"
"22.07.2019 03:00 - 22.07.2019 03:15","6803","7279"
"22.07.2019 03:15 - 22.07.2019 03:30","6801","7278"
"22.07.2019 03:30 - 22.07.2019 03:45","6803","7214"
"22.07.2019 03:45 - 22.07.2019 04:00","6785","7197"
"22.07.2019 04:00 - 22.07.2019 04:15","6812","7193"
"22.07.2019 04:15 - 22.07.2019 04:30","6858","7315"
"22.07.2019 04:30 - 22.07.2019 04:45","6908","7319"
"22.07.2019 04:45 - 22.07.2019 05:00","6961","7284"
"22.07.2019 05:00 - 22.07.2019 05:15","7215","7408"
"22.07.2019 05:15 - 22.07.2019 05:30","7260","7348"
"22.07.2019 05:30 - 22.07.2019 05:45","7351","7372"
"22.07.2019 05:45 - 22.07.2019 06:00","7457","7367"
"22.07.2019 06:00 - 22.07.2019 06:15","7615","7445"
"22.07.2019 06:15 - 22.07.2019 06:30","7842","7708"
"22.07.2019 06:30 - 22.07.2019 06:45","7986","7851"
"22.07.2019 06:45 - 22.07.2019 07:00","8125","8010"
"22.07.2019 07:00 - 22.07.2019 07:15","8281","8196"
"22.07.2019 07:15 - 22.07.2019 07:30","8492","8151"
"22.07.2019 07:30 - 22.07.2019 07:45","8633","8411"
"22.07.2019 07:45 - 22.07.2019 08:00","8779","8544"
"22.07.2019 08:00 - 22.07.2019 08:15","9146","8796"
"22.07.2019 08:15 - 22.07.2019 08:30","9287","8923"
"22.07.2019 08:30 - 22.07.2019 08:45","9354","8956"
"22.07.2019 08:45 - 22.07.2019 09:00","9404","9022"
"22.07.2019 09:00 - 22.07.2019 09:15","9741","9224"
"22.07.2019 09:15 - 22.07.2019 09:30","9761","9274"
"22.07.2019 09:30 - 22.07.2019 09:45","9858","9415"
"22.07.2019 09:45 - 22.07.2019 10:00","9918","9470"
"22.07.2019 10:00 - 22.07.2019 10:15","10018","9434"
"22.07.2019 10:15 - 22.07.2019 10:30","9998","9504"
"22.07.2019 10:30 - 22.07.2019 10:45","10081","9526"
"22.07.2019 10:45 - 22.07.2019 11:00","10090","9412"
"22.07.2019 11:00 - 22.07.2019 11:15","10176","9495"
"22.07.2019 11:15 - 22.07.2019 11:30","10191","9451"
"22.07.2019 11:30 - 22.07.2019 11:45","10263","9469"
"22.07.2019 11:45 - 22.07.2019 12:00","10258","9566"
"22.07.2019 12:00 - 22.07.2019 12:15","10171","9603"
"22.07.2019 12:15 - 22.07.2019 12:30","10133","9519"
"22.07.2019 12:30 - 22.07.2019 12:45","10140","9548"
"22.07.2019 12:45 - 22.07.2019 13:00","10130","9389"
"22.07.2019 13:00 - 22.07.2019 13:15","10088","9449"
"22.07.2019 13:15 - 22.07.2019 13:30","10022","9541"
"22.07.2019 13:30 - 22.07.2019 13:45","10004","9507"
"22.07.2019 13:45 - 22.07.2019 14:00","9965","9460"
"22.07.2019 14:00 - 22.07.2019 14:15","9922","9333"
"22.07.2019 14:15 - 22.07.2019 14:30","9914","9220"
"22.07.2019 14:30 - 22.07.2019 14:45","9847","9227"
"22.07.2019 14:45 - 22.07.2019 15:00","9847","9244"
"22.07.2019 15:00 - 22.07.2019 15:15","9826","9362"
"22.07.2019 15:15 - 22.07.2019 15:30","9830","9266"
"22.07.2019 15:30 - 22.07.2019 15:45","9851","9333"
"22.07.2019 15:45 - 22.07.2019 16:00","9809","9354"
"22.07.2019 16:00 - 22.07.2019 16:15","9756","9411"
"22.07.2019 16:15 - 22.07.2019 16:30","9764","9370"
"22.07.2019 16:30 - 22.07.2019 16:45","9756","9408"
"22.07.2019 16:45 - 22.07.2019 17:00","9831","9499"
"22.07.2019 17:00 - 22.07.2019 17:15","9758","9609"
"22.07.2019 17:15 - 22.07.2019 17:30","9785","9677"
"22.07.2019 17:30 - 22.07.2019 17:45","9860","9676"
"22.07.2019 17:45 - 22.07.2019 18:00","9887","9752"
"22.07.2019 18:00 - 22.07.2019 18:15","9783","9781"
"22.07.2019 18:15 - 22.07.2019 18:30","9763","9720"
"22.07.2019 18:30 - 22.07.2019 18:45","9714","9716"
"22.07.2019 18:45 - 22.07.2019 19:00","9663","9642"
"22.07.2019 19:00 - 22.07.2019 19:15","9510","9610"
"22.07.2019 19:15 - 22.07.2019 19:30","9436","9584"
"22.07.2019 19:30 - 22.07.2019 19:45","9383","9627"
"22.07.2019 19:45 - 22.07.2019 20:00","9333","9561"
"22.07.2019 20:00 - 22.07.2019 20:15","9249","9597"
"22.07.2019 20:15 - 22.07.2019 20:30","9134","9561"
"22.07.2019 20:30 - 22.07.2019 20:45","9089","9430"
"22.07.2019 20:45 - 22.07.2019 21:00","8957","9324"
"22.07.2019 21:00 - 22.07.2019 21:15","8985","9231"
"22.07.2019 21:15 - 22.07.2019 21:30","8952","9251"
"22.07.2019 21:30 - 22.07.2019 21:45","8849","9329"
"22.07.2019 21:45 - 22.07.2019 22:00","8859","9274"
"22.07.2019 22:00 - 22.07.2019 22:15","9102","9389"
"22.07.2019 22:15 - 22.07.2019 22:30","9236","9498"
"22.07.2019 22:30 - 22.07.2019 22:45","9247","9449"
"22.07.2019 22:45 - 22.07.2019 23:00","9175","9500"
"22.07.2019 23:00 - 22.07.2019 23:15","9042","9269"
"22.07.2019 23:15 - 22.07.2019 23:30","8916","9183"
"22.07.2019 23:30 - 22.07.2019 23:45","8717","8994"
"22.07.2019 23:45 - 23.07.2019 00:00","8623","8742"
"23.07.2019 00:00 - 23.07.2019 00:15","7919","8574"
"23.07.2019 00:15 - 23.07.2019 00:30","7770","8489"
"23.07.2019 00:30 - 23.07.2019 00:45","7739","8423"
"23.07.2019 00:45 - 23.07.2019 01:00","7617","8343"
"23.07.2019 01:00 - 23.07.2019 01:15","7517","8357"
"23.07.2019 01:15 - 23.07.2019 01:30","7459","8178"
"23.07.2019 01:30 - 23.07.2019 01:45","7371","8099"
"23.07.2019 01:45 - 23.07.2019 02:00","7319","8079"
"23.07.2019 02:00 - 23.07.2019 02:15","7269","7948"
"23.07.2019 02:15 - 23.07.2019 02:30","7241","7886"
"23.07.2019 02:30 - 23.07.2019 02:45","7217","7844"
"23.07.2019 02:45 - 23.07.2019 03:00","7191","7844"
"23.07.2019 03:00 - 23.07.2019 03:15","7278","7756"
"23.07.2019 03:15 - 23.07.2019 03:30","7250","7678"
"23.07.2019 03:30 - 23.07.2019 03:45","7242","7663"
"23.07.2019 03:45 - 23.07.2019 04:00","7233","7655"
"23.07.2019 04:00 - 23.07.2019 04:15","7305","7692"
"23.07.2019 04:15 - 23.07.2019 04:30","7321","7715"
"23.07.2019 04:30 - 23.07.2019 04:45","7350","7752"
"23.07.2019 04:45 - 23.07.2019 05:00","7407","7874"
"23.07.2019 05:00 - 23.07.2019 05:15","7585","7882"
"23.07.2019 05:15 - 23.07.2019 05:30","7618","8015"
"23.07.2019 05:30 - 23.07.2019 05:45","7612","7987"
"23.07.2019 05:45 - 23.07.2019 06:00","7648","8001"
"23.07.2019 06:00 - 23.07.2019 06:15","7954","8099"
"23.07.2019 06:15 - 23.07.2019 06:30","8122","8327"
"23.07.2019 06:30 - 23.07.2019 06:45","8303","8420"
"23.07.2019 06:45 - 23.07.2019 07:00","8399","8505"
"23.07.2019 07:00 - 23.07.2019 07:15","8735","8681"
"23.07.2019 07:15 - 23.07.2019 07:30","8902","8927"
"23.07.2019 07:30 - 23.07.2019 07:45","9067","9123"
"23.07.2019 07:45 - 23.07.2019 08:00","9187","9193"
"23.07.2019 08:00 - 23.07.2019 08:15","9449","9366"
"23.07.2019 08:15 - 23.07.2019 08:30","9551","9410"
"23.07.2019 08:30 - 23.07.2019 08:45","9629","9492"
"23.07.2019 08:45 - 23.07.2019 09:00","9667","9592"
"23.07.2019 09:00 - 23.07.2019 09:15","9860","9652"
"23.07.2019 09:15 - 23.07.2019 09:30","9923","9746"
"23.07.2019 09:30 - 23.07.2019 09:45","10004","9770"
"23.07.2019 09:45 - 23.07.2019 10:00","10001","9813"
"23.07.2019 10:00 - 23.07.2019 10:15","10091","9803"
"23.07.2019 10:15 - 23.07.2019 10:30","10101","9862"
"23.07.2019 10:30 - 23.07.2019 10:45","10146","9914"
"23.07.2019 10:45 - 23.07.2019 11:00","10164","9894"
"23.07.2019 11:00 - 23.07.2019 11:15","10256","9928"
"23.07.2019 11:15 - 23.07.2019 11:30","10276","9956"
"23.07.2019 11:30 - 23.07.2019 11:45","10301","10026"
"23.07.2019 11:45 - 23.07.2019 12:00","10304","10037"
"23.07.2019 12:00 - 23.07.2019 12:15","10254","9968"
"23.07.2019 12:15 - 23.07.2019 12:30","10159","9862"
"23.07.2019 12:30 - 23.07.2019 12:45","10187","9810"
"23.07.2019 12:45 - 23.07.2019 13:00","10197","9815"
"23.07.2019 13:00 - 23.07.2019 13:15","10134","9818"
"23.07.2019 13:15 - 23.07.2019 13:30","10103","9814"
"23.07.2019 13:30 - 23.07.2019 13:45","10086","9789"
"23.07.2019 13:45 - 23.07.2019 14:00","10066","9678"
"23.07.2019 14:00 - 23.07.2019 14:15","9973","9620"
"23.07.2019 14:15 - 23.07.2019 14:30","9939","9612"
"23.07.2019 14:30 - 23.07.2019 14:45","9975","9573"
"23.07.2019 14:45 - 23.07.2019 15:00","9914","9612"
"23.07.2019 15:00 - 23.07.2019 15:15","9960","9745"
"23.07.2019 15:15 - 23.07.2019 15:30","9910","9664"
"23.07.2019 15:30 - 23.07.2019 15:45","9908","9671"
"23.07.2019 15:45 - 23.07.2019 16:00","9892","9668"
"23.07.2019 16:00 - 23.07.2019 16:15","9654","9632"
"23.07.2019 16:15 - 23.07.2019 16:30","9648","9596"
"23.07.2019 16:30 - 23.07.2019 16:45","9710","9662"
"23.07.2019 16:45 - 23.07.2019 17:00","9722","9777"
"23.07.2019 17:00 - 23.07.2019 17:15","9480","9808"
"23.07.2019 17:15 - 23.07.2019 17:30","9488","9807"
"23.07.2019 17:30 - 23.07.2019 17:45","9535","9877"
"23.07.2019 17:45 - 23.07.2019 18:00","9603","9954"
"23.07.2019 18:00 - 23.07.2019 18:15","9621","9886"
"23.07.2019 18:15 - 23.07.2019 18:30","9589","9846"
"23.07.2019 18:30 - 23.07.2019 18:45","9573","9833"
"23.07.2019 18:45 - 23.07.2019 19:00","9545","9889"
"23.07.2019 19:00 - 23.07.2019 19:15","9256","9822"
"23.07.2019 19:15 - 23.07.2019 19:30","9143","9742"
"23.07.2019 19:30 - 23.07.2019 19:45","9070","9785"
"23.07.2019 19:45 - 23.07.2019 20:00","9061","9741"
"23.07.2019 20:00 - 23.07.2019 20:15","9052","9647"
"23.07.2019 20:15 - 23.07.2019 20:30","8963","9605"
"23.07.2019 20:30 - 23.07.2019 20:45","8895","9620"
"23.07.2019 20:45 - 23.07.2019 21:00","8802","9539"
"23.07.2019 21:00 - 23.07.2019 21:15","8774","9504"
"23.07.2019 21:15 - 23.07.2019 21:30","8738","9368"
"23.07.2019 21:30 - 23.07.2019 21:45","8685","9301"
"23.07.2019 21:45 - 23.07.2019 22:00","8637","9232"
"23.07.2019 22:00 - 23.07.2019 22:15","8835","9419"
"23.07.2019 22:15 - 23.07.2019 22:30","8954","9497"
"23.07.2019 22:30 - 23.07.2019 22:45","8983","9383"
"23.07.2019 22:45 - 23.07.2019 23:00","8877","9310"
"23.07.2019 23:00 - 23.07.2019 23:15","8965","9267"
"23.07.2019 23:15 - 23.07.2019 23:30","8824","9129"
"23.07.2019 23:30 - 23.07.2019 23:45","8698","8757"
"23.07.2019 23:45 - 24.07.2019 00:00","8550","8571"
"24.07.2019 00:00 - 24.07.2019 00:15","8467","8352"
"24.07.2019 00:15 - 24.07.2019 00:30","8336","8254"
"24.07.2019 00:30 - 24.07.2019 00:45","8236","8259"
"24.07.2019 00:45 - 24.07.2019 01:00","8138","8230"
"24.07.2019 01:00 - 24.07.2019 01:15","7991","8072"
"24.07.2019 01:15 - 24.07.2019 01:30","7897","7911"
"24.07.2019 01:30 - 24.07.2019 01:45","7823","7861"
"24.07.2019 01:45 - 24.07.2019 02:00","7734","7815"
"24.07.2019 02:00 - 24.07.2019 02:15","7582","7657"
"24.07.2019 02:15 - 24.07.2019 02:30","7553","7590"
"24.07.2019 02:30 - 24.07.2019 02:45","7527","7592"
"24.07.2019 02:45 - 24.07.2019 03:00","7500","7516"
"24.07.2019 03:00 - 24.07.2019 03:15","7503","7438"
"24.07.2019 03:15 - 24.07.2019 03:30","7475","7487"
"24.07.2019 03:30 - 24.07.2019 03:45","7467","7575"
"24.07.2019 03:45 - 24.07.2019 04:00","7457","7542"
"24.07.2019 04:00 - 24.07.2019 04:15","7424","7667"
"24.07.2019 04:15 - 24.07.2019 04:30","7440","7703"
"24.07.2019 04:30 - 24.07.2019 04:45","7470","7746"
"24.07.2019 04:45 - 24.07.2019 05:00","7528","7656"
"24.07.2019 05:00 - 24.07.2019 05:15","7540","7835"
"24.07.2019 05:15 - 24.07.2019 05:30","7572","7850"
"24.07.2019 05:30 - 24.07.2019 05:45","7566","7809"
"24.07.2019 05:45 - 24.07.2019 06:00","7602","7815"
"24.07.2019 06:00 - 24.07.2019 06:15","7945","7955"
"24.07.2019 06:15 - 24.07.2019 06:30","8114","8271"
"24.07.2019 06:30 - 24.07.2019 06:45","8294","8488"
"24.07.2019 06:45 - 24.07.2019 07:00","8390","8736"
"24.07.2019 07:00 - 24.07.2019 07:15","8831","8892"
"24.07.2019 07:15 - 24.07.2019 07:30","9000","8973"
"24.07.2019 07:30 - 24.07.2019 07:45","9167","8912"
"24.07.2019 07:45 - 24.07.2019 08:00","9287","9144"
"24.07.2019 08:00 - 24.07.2019 08:15","9558","9470"
"24.07.2019 08:15 - 24.07.2019 08:30","9661","9569"
"24.07.2019 08:30 - 24.07.2019 08:45","9740","9640"
"24.07.2019 08:45 - 24.07.2019 09:00","9778","9837"
"24.07.2019 09:00 - 24.07.2019 09:15","9999","9900"
"24.07.2019 09:15 - 24.07.2019 09:30","10063","9944"
"24.07.2019 09:30 - 24.07.2019 09:45","10145","10057"
"24.07.2019 09:45 - 24.07.2019 10:00","10142","10140"
"24.07.2019 10:00 - 24.07.2019 10:15","10234","10163"
"24.07.2019 10:15 - 24.07.2019 10:30","10244","10162"
"24.07.2019 10:30 - 24.07.2019 10:45","10289","10159"
"24.07.2019 10:45 - 24.07.2019 11:00","10308","10068"
"24.07.2019 11:00 - 24.07.2019 11:15","10389","10120"
"24.07.2019 11:15 - 24.07.2019 11:30","10410","10197"
"24.07.2019 11:30 - 24.07.2019 11:45","10436","10236"
"24.07.2019 11:45 - 24.07.2019 12:00","10439","10207"
"24.07.2019 12:00 - 24.07.2019 12:15","10373","10140"
"24.07.2019 12:15 - 24.07.2019 12:30","10277","10033"
"24.07.2019 12:30 - 24.07.2019 12:45","10306","10042"
"24.07.2019 12:45 - 24.07.2019 13:00","10316","10096"
"24.07.2019 13:00 - 24.07.2019 13:15","10053","10143"
"24.07.2019 13:15 - 24.07.2019 13:30","10022","10110"
"24.07.2019 13:30 - 24.07.2019 13:45","10005","9979"
"24.07.2019 13:45 - 24.07.2019 14:00","9986","9851"
"24.07.2019 14:00 - 24.07.2019 14:15","9647","10050"
"24.07.2019 14:15 - 24.07.2019 14:30","9615","10034"
"24.07.2019 14:30 - 24.07.2019 14:45","9650","9990"
"24.07.2019 14:45 - 24.07.2019 15:00","9590","9973"
"24.07.2019 15:00 - 24.07.2019 15:15","9780","10002"
"24.07.2019 15:15 - 24.07.2019 15:30","9731","9923"
"24.07.2019 15:30 - 24.07.2019 15:45","9728","10037"
"24.07.2019 15:45 - 24.07.2019 16:00","9712","10002"
"24.07.2019 16:00 - 24.07.2019 16:15","9388","9981"
"24.07.2019 16:15 - 24.07.2019 16:30","9383","9964"
"24.07.2019 16:30 - 24.07.2019 16:45","9443","10010"
"24.07.2019 16:45 - 24.07.2019 17:00","9454","10043"
"24.07.2019 17:00 - 24.07.2019 17:15","9372","9980"
"24.07.2019 17:15 - 24.07.2019 17:30","9380","10020"
"24.07.2019 17:30 - 24.07.2019 17:45","9426","10039"
"24.07.2019 17:45 - 24.07.2019 18:00","9493","9980"
"24.07.2019 18:00 - 24.07.2019 18:15","9397","9887"
"24.07.2019 18:15 - 24.07.2019 18:30","9366","9911"
"24.07.2019 18:30 - 24.07.2019 18:45","9350","9958"
"24.07.2019 18:45 - 24.07.2019 19:00","9323","10060"
"24.07.2019 19:00 - 24.07.2019 19:15","9284","9932"
"24.07.2019 19:15 - 24.07.2019 19:30","9171","9793"
"24.07.2019 19:30 - 24.07.2019 19:45","9098","9670"
"24.07.2019 19:45 - 24.07.2019 20:00","9089","9780"
"24.07.2019 20:00 - 24.07.2019 20:15","9094","9756"
"24.07.2019 20:15 - 24.07.2019 20:30","9004","9728"
"24.07.2019 20:30 - 24.07.2019 20:45","8936","9697"
"24.07.2019 20:45 - 24.07.2019 21:00","8843","9624"
"24.07.2019 21:00 - 24.07.2019 21:15","8860","9558"
"24.07.2019 21:15 - 24.07.2019 21:30","8823","9493"
"24.07.2019 21:30 - 24.07.2019 21:45","8769","9487"
"24.07.2019 21:45 - 24.07.2019 22:00","8721","9471"
"24.07.2019 22:00 - 24.07.2019 22:15","8900","9694"
"24.07.2019 22:15 - 24.07.2019 22:30","9020","9750"
"24.07.2019 22:30 - 24.07.2019 22:45","9049","9642"
"24.07.2019 22:45 - 24.07.2019 23:00","8942","9632"
"24.07.2019 23:00 - 24.07.2019 23:15","8867","9498"
"24.07.2019 23:15 - 24.07.2019 23:30","8728","9385"
"24.07.2019 23:30 - 24.07.2019 23:45","8603","9180"
"24.07.2019 23:45 - 25.07.2019 00:00","8457","9035"
"25.07.2019 00:00 - 25.07.2019 00:15","8240","8898"
"25.07.2019 00:15 - 25.07.2019 00:30","8118","8759"
"25.07.2019 00:30 - 25.07.2019 00:45","8033","8572"
"25.07.2019 00:45 - 25.07.2019 01:00","7944","8444"
"25.07.2019 01:00 - 25.07.2019 01:15","7864","8351"
"25.07.2019 01:15 - 25.07.2019 01:30","7765","8243"
"25.07.2019 01:30 - 25.07.2019 01:45","7696","8159"
"25.07.2019 01:45 - 25.07.2019 02:00","7614","8131"
"25.07.2019 02:00 - 25.07.2019 02:15","7518","8054"
"25.07.2019 02:15 - 25.07.2019 02:30","7486","8077"
"25.07.2019 02:30 - 25.07.2019 02:45","7459","7999"
"25.07.2019 02:45 - 25.07.2019 03:00","7436","7918"
"25.07.2019 03:00 - 25.07.2019 03:15","7385","7956"
"25.07.2019 03:15 - 25.07.2019 03:30","7352","7833"
"25.07.2019 03:30 - 25.07.2019 03:45","7347","7844"
"25.07.2019 03:45 - 25.07.2019 04:00","7341","7859"
"25.07.2019 04:00 - 25.07.2019 04:15","7338","7791"
"25.07.2019 04:15 - 25.07.2019 04:30","7353","7784"
"25.07.2019 04:30 - 25.07.2019 04:45","7382","7721"
"25.07.2019 04:45 - 25.07.2019 05:00","7444","7743"
"25.07.2019 05:00 - 25.07.2019 05:15","7411","7896"
"25.07.2019 05:15 - 25.07.2019 05:30","7453","8022"
"25.07.2019 05:30 - 25.07.2019 05:45","7445","7909"
"25.07.2019 05:45 - 25.07.2019 06:00","7477","7904"
"25.07.2019 06:00 - 25.07.2019 06:15","7709","8040"
"25.07.2019 06:15 - 25.07.2019 06:30","7879","8285"
"25.07.2019 06:30 - 25.07.2019 06:45","8046","8579"
"25.07.2019 06:45 - 25.07.2019 07:00","8140","8655"
"25.07.2019 07:00 - 25.07.2019 07:15","8333","8901"
"25.07.2019 07:15 - 25.07.2019 07:30","8502","9043"
"25.07.2019 07:30 - 25.07.2019 07:45","8664","9236"
"25.07.2019 07:45 - 25.07.2019 08:00","8772","9289"
"25.07.2019 08:00 - 25.07.2019 08:15","8823","9475"
"25.07.2019 08:15 - 25.07.2019 08:30","8910","9524"
"25.07.2019 08:30 - 25.07.2019 08:45","8983","9612"
"25.07.2019 08:45 - 25.07.2019 09:00","9026","9783"
"25.07.2019 09:00 - 25.07.2019 09:15","9104","9901"
"25.07.2019 09:15 - 25.07.2019 09:30","9166","9993"
"25.07.2019 09:30 - 25.07.2019 09:45","9239","10060"
"25.07.2019 09:45 - 25.07.2019 10:00","9243","10100"
"25.07.2019 10:00 - 25.07.2019 10:15","9299","10193"
"25.07.2019 10:15 - 25.07.2019 10:30","9313","10279"
"25.07.2019 10:30 - 25.07.2019 10:45","9353","10337"
"25.07.2019 10:45 - 25.07.2019 11:00","9363","10406"
"25.07.2019 11:00 - 25.07.2019 11:15","9450","10354"
"25.07.2019 11:15 - 25.07.2019 11:30","9470","10317"
"25.07.2019 11:30 - 25.07.2019 11:45","9496","10381"
"25.07.2019 11:45 - 25.07.2019 12:00","9501","10410"
"25.07.2019 12:00 - 25.07.2019 12:15","9607","10317"
"25.07.2019 12:15 - 25.07.2019 12:30","9521","10230"
"25.07.2019 12:30 - 25.07.2019 12:45","9540","10180"
"25.07.2019 12:45 - 25.07.2019 13:00","9549","10226"
"25.07.2019 13:00 - 25.07.2019 13:15","9793","10254"
"25.07.2019 13:15 - 25.07.2019 13:30","9767","10206"
"25.07.2019 13:30 - 25.07.2019 13:45","9752","10275"
"25.07.2019 13:45 - 25.07.2019 14:00","9722","10154"
"25.07.2019 14:00 - 25.07.2019 14:15","9403","10123"
"25.07.2019 14:15 - 25.07.2019 14:30","9376","10107"
"25.07.2019 14:30 - 25.07.2019 14:45","9402","10162"
"25.07.2019 14:45 - 25.07.2019 15:00","9357","10117"
"25.07.2019 15:00 - 25.07.2019 15:15","9304","10142"
"25.07.2019 15:15 - 25.07.2019 15:30","9254","10104"
"25.07.2019 15:30 - 25.07.2019 15:45","9253","10176"
"25.07.2019 15:45 - 25.07.2019 16:00","9239","10207"
"25.07.2019 16:00 - 25.07.2019 16:15","9243","10110"
"25.07.2019 16:15 - 25.07.2019 16:30","9231","10070"
"25.07.2019 16:30 - 25.07.2019 16:45","9291","9983"
"25.07.2019 16:45 - 25.07.2019 17:00","9318","10086"
"25.07.2019 17:00 - 25.07.2019 17:15","9331","10067"
"25.07.2019 17:15 - 25.07.2019 17:30","9337","10058"
"25.07.2019 17:30 - 25.07.2019 17:45","9384","10137"
"25.07.2019 17:45 - 25.07.2019 18:00","9452","10101"
"25.07.2019 18:00 - 25.07.2019 18:15","9427","10104"
"25.07.2019 18:15 - 25.07.2019 18:30","9394","10036"
"25.07.2019 18:30 - 25.07.2019 18:45","9381","10018"
"25.07.2019 18:45 - 25.07.2019 19:00","9363","9970"
"25.07.2019 19:00 - 25.07.2019 19:15","9381","9813"
"25.07.2019 19:15 - 25.07.2019 19:30","9268","9710"
"25.07.2019 19:30 - 25.07.2019 19:45","9202","9619"
"25.07.2019 19:45 - 25.07.2019 20:00","9182","9581"
"25.07.2019 20:00 - 25.07.2019 20:15","9166","9562"
"25.07.2019 20:15 - 25.07.2019 20:30","9083","9409"
"25.07.2019 20:30 - 25.07.2019 20:45","9025","9321"
"25.07.2019 20:45 - 25.07.2019 21:00","8931","9318"
"25.07.2019 21:00 - 25.07.2019 21:15","8950","9295"
"25.07.2019 21:15 - 25.07.2019 21:30","8900","9339"
"25.07.2019 21:30 - 25.07.2019 21:45","8847","9224"
"25.07.2019 21:45 - 25.07.2019 22:00","8804","9322"
"25.07.2019 22:00 - 25.07.2019 22:15","9026","9572"
"25.07.2019 22:15 - 25.07.2019 22:30","9142","9534"
